"Could not %1 the %2. Please try again!","Could not %1 the %2. Please try again!"
"%1 must not empty!","%1 must not empty!"
"Oh no! You can't delete the admin role.","Oh no! You can't delete the admin role."
"Role id must be defined!","Role id must be defined!"
"The request is allowed for logged in sub-user.","The request is allowed for logged in sub-user."
"Sorry we can't let you perform this action!","Sorry we can't let you perform this action!"
"Token Input and Token get from Sub-User didn\'t match.","Token Input and Token get from Sub-User didn\'t match."
"Can\'t find Sub User.","Can\'t find Sub User."
"Sub Email is required!.","Sub Email is required!."
"New Password and Confirm New Password values didn\'t match.","New Password and Confirm New Password values didn\'t match."
"Sub-user information is required!","Sub-user information is required!"
"You have no access to this action.","You have no access to this action."
"Please enter enough information!","Please enter enough information!"
"Customer and Sub-User didn\'t match.","Customer and Sub-User didn\'t match."
"Incorrect Password. Please try again!","Incorrect Password. Please try again!"
