"Custom Pricing","Custom Pricing"
"Enable","Enable"
"How price was assign to product when the customer was assign to many Price Rule with same product.","How price was assign to product when the customer was assign to many Price Rule with same product."
"Apply Normal Tier Price to product that has Custom Price","Apply Normal Tier Price to product that has Custom Price"
"Apply Normal Special Price to product that has Custom Price","Apply Normal Special Price to product that has Custom Price"
"Minimum Price","Minimum Price"
"Priority","Priority"
"Bss Custom Pricing Config","Bss Custom Pricing Config"
"Recommended Extensions","Recommended Extensions"
"Select customer to price rule by condition<br /> %1","Select customer to price rule by condition<br /> %1"
"Hide the custom price<br> %1","Hide the custom price<br> %1"
"Installed","Installed"
"Not Installed","Not Installed"
"Status","Status"
"Price Rules","Price Rules"
"Name","Name"
"Rule Name","Rule Name"
"Website","Website"
"Status","Status"
"Priority","Priority"
"Description","Description"
"Delete Price Rule","Delete Price Rule"
"Create Price Rule","Create Price Rule"
"Sorry, you need permissions to %1.","Sorry, you need permissions to %1."
"delete selected Price Rules","delete selected Price Rules"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Delete","Delete"
"Delete Price Rules","Delete Price Rules"
"Are you sure you want to delete selected price rules?","Are you sure you want to delete selected price rules?"
"General Information","General Information"
"Continue","Continue"
"This price rule no longer exists.","This price rule no longer exists."
"The selected product price no longer exists.","The selected product price no longer exists."
"Create New Rule","Create New Rule"
"Create Rule","Create Rule"
"Product Conditions","Product Conditions"
"Product Conditions (don't add conditions if rule is applied to all products)","Product Conditions (don't add conditions if rule is applied to all products)"
"Customer Conditions","Customer Conditions"
"Customer Conditions (don't add conditions if rule is applied to all customers)","Customer Conditions (don't add conditions if rule is applied to all customers)"
"Specified Customers","Specified Customers"
"Customer Attributes","Customer Attributes"
"Customer Groups","Customer Groups"
"Select Specified Customers","Select Specified Customers"
"Customer Email","Customer Email"
"Customer Name","Customer Name"
"Are you sure you want to delete this rule?","Are you sure you want to delete this rule?"
"Something went wrong while deleting the rule. Please review the error log.","Something went wrong while deleting the rule. Please review the error log."
"Something went wrong while saving the rule data. Please review the error log.","Something went wrong while saving the rule data. Please review the error log."
"You deleted the rule.","You deleted the rule."
"Update Product Price","Update Product Price"
"update the product price.","update the product price."
"Please input definition of custom price.","Please input definition of custom price."
"Please input correct type number.","Please input correct type number."
"You saved custom price.","You saved custom price."
"'price type' param missing on you request! Please refresh and try again.","'price type' param missing on you request! Please refresh and try again."
"Is Applied For Not Logged In Customer","Is Applied For Not Logged In Customer"
"Remove Custom Price","Remove Custom Price"
"You removed custom price.","You removed custom price."
"Are you sure you want to remove the custom price for the product?","Are you sure you want to remove the custom price for the product?"
"Are you sure you want to remove custom price of selected product?","Are you sure you want to remove custom price of selected product?"
"Undefined","Undefined"
"Expected Price","Expected Price"
