Hide Price,Hide Price
General Config,General Config
Hide Price Global Config,Hide Price Global Config
Hide Price Action,Hide Price Action
Hide Price Message,Hide Price Message
Apply for Categories,Apply for Categories
Apply for Customer Groups,Apply for Customer Groups
'Please contact us for price.','Please contact us for price.'
'Disable','Disable'
'Use Hide Price Global Config','Use Hide Price Global Config'
'Hide Price and "Add to Cart" Button','Hide Price and "Add to Cart" Button'
'Show Price and Hide "Add to Cart" Button','Show Price and Hide "Add to Cart" Button'
'-- Please Select --','-- Please Select --'
'Product HidePice Customer Group  ','Product HidePice Customer Group  '
' column',' column'
'Product HidePice Customer Group  ','Product HidePice Customer Group  '
'This product cannot be added to your cart.','This product cannot be added to your cart.'
A total of %1 record(s) were modified!,A total of %1 record(s) were modified!
Please Select,Please Select
Enable,Enable
