"Main","Main"
"Back","Back"
"* Required Fields","* Required Fields"
"Sharing Information","Sharing Information"
"Email addresses, separated by commas","Email addresses, separated by commas"
"Message","Message"
"Check here to link an RSS feed to your Wish List.","Check here to link an RSS feed to your Wish List."
"Share Wish List","Share Wish List"
"Please select wishlist !","Please select wishlist !"
"Please choose a Wish List for the selected product:","Please choose a Wish List for the selected product:"
"Create Wish List","Create Wish List"
"Enter Wish List Name","Enter Wish List Name"
"Loading...","Loading..."
"Add To WishList","Add To WishList"
"Move Item","Move Item"
"Copy Item","Copy Item"
"The wishlist name can\'t be left blank","The wishlist name can\'t be left blank"
"Edit","Edit"
"Delete","Delete"
"Update Wish List","Update Wish List"
"Share Wish List","Share Wish List"
"Add All to Cart","Add All to Cart"
"This Wish List has no Items","This Wish List has no Items"
"Remove Item","Remove Item"
"Remove","Remove"
"Move Item","Move Item"
"Move","Move"
"Copy Item","Copy Item"
"Copy","Copy"
"Comment","Comment"
"View Product","View Product"
"We can\'t add this item to your shopping cart right now.","We can\'t add this item to your shopping cart right now."
"We can\'t update the Wish List right now.","We can\'t update the Wish List right now."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"We couldn\'t add the following product(s) to the shopping cart: %1.","We couldn\'t add the following product(s) to the shopping cart: %1."
"Message length must not exceed %1 symbols","Message length must not exceed %1 symbols"
"Please enter an email address.","Please enter an email address."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Please enter a valid email address."
"Your wish list has been shared.","Your wish list has been shared."
"Page not found.","Page not found."
"Please try again.","Please try again."
"%1 has been moved to wish list %2.","%1 has been moved to wish list %2."
"An error occurred, please try again later.","An error occurred, please try again later."
"The wishlist has renamed successfully.","The wishlist has renamed successfully."
"The Wishlist has been deleted.","The Wishlist has been deleted."
"Already exist a Wishlist. Please choose a different name.","Already exist a Wishlist. Please choose a different name."
"Successfully saved the wishlist.","Successfully saved the wishlist."
"%1 has been copied to wish list %2.","%1 has been copied to wish list %2."
"The requested cart item doesn\'t exist.","The requested cart item doesn\'t exist."
"%1 has been moved to your wish list.","%1 has been moved to your wish list."
"We can\'t specify a product.","We can\'t specify a product."
"%1 has been added to wish list %2.","%1 has been added to wish list %2."
"We can\'t add the item to Wish List right now: %1.","We can\'t add the item to Wish List right now: %1."
"We can\'t add the item to Wish List right now.","We can\'t add the item to Wish List right now."
"Wishlist name must less than %1 character.","Wishlist name must less than %1 character."
"You must logged in to perform this action.","You must logged in to perform this action."
"You can't delete a wishlist that is not belong to you!","You can't delete a wishlist that is not belong to you!"
"Could not get the wishlist by customer with id %id: %message","Could not get the wishlist by customer with id %id: %message"
"Could not delete the item with id %id to the wishlist:: %message","Could not delete the item with id %id to the wishlist:: %message"
"The item with id %id does not exist in wishlist","The item with id "%id" does not exist in wishlist"
"Could not add the product with SKU %sku to the wishlist:: %message","Could not add the product with SKU %sku to the wishlist:: %message"
"Could not find a product with SKU %sku","Could not find a product with SKU %sku"
"Successfully save the item with product with SKU %sku to the wishlist.","Successfully save the item with product with SKU %sku to the wishlist."
"Some errors when getList product in wishList %1","Some errors when getList product in wishList %1"
