Use quick view function to check current price.,Use quick view function to check current price.
(Click on product name to see current price.),(Click on product name to see current price.)
(Click on quick view button on image to see current price.),(Click on quick view button on image to see current price.)
Show/Hide Column,Show/Hide Column
Checkbox,Checkbox
Image,Image
Product Name,Product Name
Ordered Price,Ordered Price
Qty,Qty
Ordered Qty,Ordered Qty
Order Date,Order Date
Stock Status,Stock Status
Add to Cart,Add to Cart
items selected,items selected
In stock,In stock
Out of stock,Out of stock
Add,Add
SKU,SKU
Add all to Cart,Add all to Cart
Add all to Wishlist,Add all to Wishlist
Show _MENU_ of,Show _MENU_ of
Items _START_ - _END_ of _TOTAL_ ,Items _START_ - _END_ of _TOTAL_ 
- filtered from _MAX_ items,- filtered from _MAX_ items
No Items,No Items
There are no items to show in reorder list,There are no items to show in reorder list
